dataset,metafolds,experiments,cutoff,seed,stage,component,value
cifar10,1,5000,10,1540457,preprocessing,pre_scaling,False
cifar10,1,5000,10,1540457,preprocessing,f_eng1,None
cifar10,1,5000,10,1540457,preprocessing,f_eng2,None
cifar10,1,5000,10,1540457,prediction,scaling,True
cifar10,1,5000,10,1540457,prediction,algorithm,LogisticRegression
cifar10,1,5000,10,1540458,preprocessing,pre_scaling,False
cifar10,1,5000,10,1540458,preprocessing,f_eng1,None
cifar10,1,5000,10,1540458,preprocessing,f_eng2,None
cifar10,1,5000,10,1540458,prediction,scaling,True
cifar10,1,5000,10,1540458,prediction,algorithm,LogisticRegression
cifar10,1,5000,10,1540459,preprocessing,pre_scaling,False
cifar10,1,5000,10,1540459,preprocessing,f_eng1,None
cifar10,1,5000,10,1540459,preprocessing,f_eng2,None
cifar10,1,5000,10,1540459,prediction,scaling,True
cifar10,1,5000,10,1540459,prediction,algorithm,LogisticRegression
cifar10,1,5000,10,1540460,preprocessing,pre_scaling,True
cifar10,1,5000,10,1540460,preprocessing,f_eng1,Extraction
cifar10,1,5000,10,1540460,preprocessing,f_eng2,None
cifar10,1,5000,10,1540460,prediction,scaling,True
cifar10,1,5000,10,1540460,prediction,algorithm,LogisticRegression
cifar10,1,5000,10,1585138,preprocessing,pre_scaling,False
cifar10,1,5000,10,1585138,preprocessing,f_eng1,Extraction
cifar10,1,5000,10,1585138,preprocessing,f_eng2,none
cifar10,1,5000,10,1585138,prediction,scaling,False
cifar10,1,5000,10,1585138,prediction,algorithm,LogisticRegression
cifar10,1,5000,10,1585139,preprocessing,pre_scaling,False
cifar10,1,5000,10,1585139,preprocessing,f_eng1,none
cifar10,1,5000,10,1585139,preprocessing,f_eng2,none
cifar10,1,5000,10,1585139,prediction,scaling,True
cifar10,1,5000,10,1585139,prediction,algorithm,LogisticRegression
cifar10,1,5000,10,1585140,preprocessing,pre_scaling,False
cifar10,1,5000,10,1585140,preprocessing,f_eng1,none
cifar10,1,5000,10,1585140,preprocessing,f_eng2,none
cifar10,1,5000,10,1585140,prediction,scaling,True
cifar10,1,5000,10,1585140,prediction,algorithm,LogisticRegression
cifar10,1,5000,10,1585141,preprocessing,pre_scaling,False
cifar10,1,5000,10,1585141,preprocessing,f_eng1,none
cifar10,1,5000,10,1585141,preprocessing,f_eng2,none
cifar10,1,5000,10,1585141,prediction,scaling,True
cifar10,1,5000,10,1585141,prediction,algorithm,LogisticRegression
cifar10,1,5000,10,1585142,preprocessing,pre_scaling,False
cifar10,1,5000,10,1585142,preprocessing,f_eng1,none
cifar10,1,5000,10,1585142,preprocessing,f_eng2,none
cifar10,1,5000,10,1585142,prediction,scaling,True
cifar10,1,5000,10,1585142,prediction,algorithm,LogisticRegression
cifar10,3,2000,15,1540436,preprocessing,pre_scaling,False
cifar10,3,2000,15,1540436,preprocessing,f_eng1,None
cifar10,3,2000,15,1540436,preprocessing,f_eng2,None
cifar10,3,2000,15,1540436,prediction,scaling,True
cifar10,3,2000,15,1540436,prediction,algorithm,LogisticRegression
cifar10,3,2000,15,1540437,preprocessing,pre_scaling,False
cifar10,3,2000,15,1540437,preprocessing,f_eng1,None
cifar10,3,2000,15,1540437,preprocessing,f_eng2,None
cifar10,3,2000,15,1540437,prediction,scaling,False
cifar10,3,2000,15,1540437,prediction,algorithm,RandomForest
cifar10,3,2000,15,1540438,preprocessing,pre_scaling,False
cifar10,3,2000,15,1540438,preprocessing,f_eng1,None
cifar10,3,2000,15,1540438,preprocessing,f_eng2,Selection
cifar10,3,2000,15,1540438,prediction,scaling,True
cifar10,3,2000,15,1540438,prediction,algorithm,KNeighbors
cifar10,3,2000,15,1540439,preprocessing,pre_scaling,False
cifar10,3,2000,15,1540439,preprocessing,f_eng1,None
cifar10,3,2000,15,1540439,preprocessing,f_eng2,Selection
cifar10,3,2000,15,1540439,prediction,scaling,True
cifar10,3,2000,15,1540439,prediction,algorithm,LogisticRegression
cifar10,3,2000,15,1540440,preprocessing,pre_scaling,False
cifar10,3,2000,15,1540440,preprocessing,f_eng1,None
cifar10,3,2000,15,1540440,preprocessing,f_eng2,None
cifar10,3,2000,15,1540440,prediction,scaling,True
cifar10,3,2000,15,1540440,prediction,algorithm,KNeighbors
cifar10,3,2000,15,1585118,preprocessing,pre_scaling,False
cifar10,3,2000,15,1585118,preprocessing,f_eng1,none
cifar10,3,2000,15,1585118,preprocessing,f_eng2,Selection
cifar10,3,2000,15,1585118,prediction,scaling,True
cifar10,3,2000,15,1585118,prediction,algorithm,LogisticRegression
cifar10,3,2000,15,1585119,preprocessing,pre_scaling,False
cifar10,3,2000,15,1585119,preprocessing,f_eng1,none
cifar10,3,2000,15,1585119,preprocessing,f_eng2,none
cifar10,3,2000,15,1585119,prediction,scaling,False
cifar10,3,2000,15,1585119,prediction,algorithm,KNeighbors
cifar10,3,2000,15,1585120,preprocessing,pre_scaling,False
cifar10,3,2000,15,1585120,preprocessing,f_eng1,none
