,16,2,1,4,3,10,9,5,17,13,15,12,8,7,6,11,14
2013-05-26,7.0,23.0,20.0,14.0,2.0,17.0,9.0,22.0,16.0,14.0,16.0,26.0,14.0,16.0,11.0,12.0,5.0
2013-05-27,6.0,22.0,18.0,6.0,7.0,14.0,7.0,20.0,6.0,6.0,7.0,19.0,9.0,13.0,5.0,8.0,3.0
2013-05-28,2.0,14.0,11.0,5.0,3.0,12.0,8.0,21.0,2.0,8.0,9.0,20.0,10.0,9.0,8.0,9.0,2.0
2013-05-29,7.0,15.0,13.0,12.0,3.0,19.0,11.0,46.0,5.0,7.0,7.0,16.0,7.0,17.0,4.0,6.0,6.0
2013-05-30,11.0,25.0,9.0,14.0,9.0,13.0,15.0,12.0,13.0,9.0,16.0,15.0,9.0,20.0,9.0,8.0,5.0
2013-05-31,1.0,26.0,16.0,13.0,2.0,10.0,15.0,19.0,8.0,7.0,13.0,23.0,13.0,29.0,5.0,11.0,6.0
2013-06-01,2.0,13.0,5.0,2.0,1.0,7.0,10.0,10.0,6.0,1.0,2.0,5.0,8.0,11.0,3.0,4.0,5.0
2013-06-02,6.0,10.0,13.0,12.0,3.0,6.0,6.0,16.0,7.0,9.0,16.0,21.0,14.0,17.0,8.0,7.0,8.0
2013-06-03,4.0,10.0,17.0,5.0,7.0,9.0,10.0,18.0,4.0,5.0,5.0,10.0,10.0,13.0,6.0,8.0,3.0
2013-06-04,3.0,8.0,15.0,9.0,4.0,17.0,8.0,17.0,5.0,5.0,6.0,15.0,9.0,14.0,5.0,7.0,3.0
2013-06-05,4.0,8.0,9.0,10.0,6.0,14.0,10.0,21.0,9.0,5.0,4.0,16.0,7.0,14.0,7.0,14.0,3.0
2013-06-06,5.0,20.0,11.0,8.0,5.0,6.0,7.0,29.0,6.0,8.0,7.0,14.0,19.0,22.0,6.0,4.0,3.0
2013-06-07,10.0,20.0,8.0,4.0,4.0,19.0,13.0,29.0,8.0,10.0,8.0,20.0,19.0,9.0,8.0,10.0,9.0
2013-06-08,1.0,6.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,4.0,2.0,11.0,1.0,4.0,8.0,0.0,4.0
2013-06-09,5.0,13.0,11.0,6.0,4.0,3.0,23.0,19.0,16.0,17.0,9.0,31.0,19.0,17.0,8.0,13.0,4.0
2013-06-10,1.0,15.0,15.0,7.0,6.0,11.0,8.0,22.0,9.0,10.0,7.0,27.0,16.0,20.0,2.0,3.0,4.0
2013-06-11,2.0,12.0,16.0,6.0,3.0,10.0,11.0,25.0,9.0,9.0,8.0,22.0,12.0,10.0,1.0,7.0,5.0
2013-06-12,9.0,14.0,17.0,7.0,6.0,6.0,9.0,26.0,3.0,6.0,9.0,21.0,12.0,10.0,7.0,5.0,3.0
2013-06-13,5.0,18.0,15.0,1.0,6.0,15.0,13.0,25.0,10.0,7.0,11.0,17.0,12.0,11.0,11.0,12.0,3.0
2013-06-14,3.0,17.0,17.0,4.0,5.0,11.0,8.0,31.0,6.0,5.0,14.0,29.0,12.0,12.0,11.0,2.0,6.0
2013-06-15,6.0,24.0,6.0,10.0,6.0,6.0,11.0,19.0,7.0,5.0,17.0,21.0,25.0,19.0,12.0,10.0,9.0
2013-06-16,6.0,15.0,7.0,9.0,8.0,4.0,9.0,16.0,18.0,8.0,16.0,24.0,36.0,33.0,6.0,9.0,19.0
2013-06-17,5.0,19.0,12.0,11.0,3.0,13.0,10.0,20.0,7.0,8.0,11.0,15.0,21.0,20.0,9.0,15.0,2.0
2013-06-18,7.0,11.0,24.0,9.0,6.0,10.0,7.0,19.0,8.0,8.0,4.0,18.0,10.0,24.0,9.0,10.0,6.0
2013-06-19,2.0,18.0,11.0,9.0,3.0,8.0,9.0,27.0,9.0,3.0,10.0,20.0,14.0,10.0,4.0,5.0,1.0
2013-06-20,4.0,15.0,15.0,7.0,1.0,7.0,6.0,29.0,6.0,5.0,11.0,20.0,9.0,12.0,4.0,6.0,4.0
2013-06-21,6.0,16.0,15.0,4.0,2.0,6.0,6.0,30.0,3.0,7.0,5.0,27.0,14.0,6.0,4.0,10.0,3.0
2013-06-22,17.0,17.0,15.0,5.0,3.0,16.0,6.0,33.0,19.0,5.0,14.0,12.0,12.0,17.0,7.0,13.0,4.0
2013-06-23,9.0,10.0,1.0,8.0,2.0,11.0,12.0,22.0,14.0,9.0,14.0,33.0,16.0,17.0,11.0,13.0,9.0
2013-06-24,1.0,17.0,6.0,4.0,1.0,4.0,9.0,14.0,10.0,2.0,6.0,8.0,7.0,27.0,5.0,7.0,6.0
2013-06-25,5.0,11.0,6.0,6.0,4.0,7.0,11.0,21.0,3.0,2.0,11.0,20.0,13.0,10.0,7.0,9.0,2.0
2013-06-26,3.0,11.0,9.0,8.0,1.0,14.0,10.0,20.0,4.0,12.0,11.0,12.0,11.0,14.0,11.0,9.0,3.0
2013-06-27,3.0,13.0,9.0,6.0,4.0,9.0,5.0,27.0,12.0,6.0,11.0,25.0,11.0,21.0,9.0,11.0,3.0
2013-06-28,6.0,17.0,9.0,5.0,3.0,6.0,5.0,22.0,6.0,8.0,8.0,6.0,12.0,6.0,8.0,3.0,5.0
