fold,config_id,result
2,1,0.11222091646468504
10,1,0.1123332020543657
14,1,0.11240807605954126
2,2,0.10458818999367356
10,2,0.10165486813992193
14,2,0.10006641415780056
16,1,0.11240807605954126
9,1,0.1123332020543657
16,2,0.10139306622877883
9,2,0.09966264222905594
11,1,0.11240807605954126
3,1,0.11225825735405716
13,1,0.11240807605954126
11,2,0.10442544096577926
3,2,0.10195282921533023
13,2,0.09609291236447716
5,1,0.11229591769153877
4,1,0.11225825735405716
5,2,0.09895928039162727
4,2,0.09692764259157867
6,1,0.11229591769153877
6,2,0.10164384415001652
2,3,0.11222091646468504
10,3,0.1123332020543657
14,3,0.11240807605954126
2,4,0.8117500391964321
10,4,0.7714308687025538
14,4,0.7955388287376055
2,5,0.10887753288009544
10,5,0.10731140958145224
14,5,0.1103946532407493
2,6,0.8770288572396305
10,6,0.8666712872241199
14,6,0.8709275475215501
2,7,0.4345970488594457
10,7,0.3878552719021077
14,7,0.4236310413318033
2,8,0.8850816820694479
10,8,0.8807091058971117
14,8,0.8800222008629348
2,9,0.09790787186239204
10,9,0.0996664990421162
14,9,0.10640559571902893
2,10,0.11222091646468504
10,10,0.1123332020543657
14,10,0.11240807605954126
2,11,0.8851160427786393
10,11,0.8850076292655211
14,11,0.8872838270053475
2,12,0.8128371588055161
10,12,0.7927514059457681
14,12,0.8025357884203552
2,13,0.8417179264100545
10,13,0.8073509492419457
14,13,0.8248787215219519
2,14,0.11222091646468504
10,14,0.1123332020543657
14,14,0.11240807605954126
2,15,0.3211225544316113
10,15,0.3171835862092592
14,15,0.3513526656671655
2,16,0.4745379865804834
10,16,0.4367906854568682
14,16,0.4781952441852145
2,17,0.4042934702912274
10,17,0.3542015089919122
14,17,0.3501157980542413
2,18,0.876395328840125
10,18,0.8633810024135473
14,18,0.8720118491000882
16,3,0.11240807605954126
9,3,0.1123332020543657
16,4,0.7756617965148729
9,4,0.7816251902483016
16,5,0.10804565995215873
9,5,0.10764866070468897
16,6,0.8541825629561137
9,6,0.8756579073839678
16,7,0.4528648793793876
9,7,0.4284035073343552
16,8,0.8781644156099635
9,8,0.8992808098069599
16,9,0.1094258990017947
9,9,0.10567056016032006
16,10,0.11240807605954126
9,10,0.1123332020543657
16,11,0.8712338930719085
9,11,0.8882347490324914
16,12,0.7961035697309439
9,12,0.8064879809313339
16,13,0.8214510937856166
9,13,0.8479495400900223
16,14,0.11240807605954126
9,14,0.1123332020543657
16,15,0.4312585094808632
9,15,0.4156442712925735
16,16,0.4735164291822586
9,16,0.4783071547733875
16,17,0.4268884510064401
9,17,0.38243815990790464
16,18,0.8644693019212729
9,18,0.8889491980478101
11,3,0.11240807605954126
3,3,0.11225825735405716
13,3,0.11240807605954126
11,4,0.8035506871387719
3,4,0.8051125744304151
13,4,0.777612291628121
11,5,0.109723512301152
3,5,0.11225825735405716
13,5,0.11240807605954126
11,6,0.8965888233242042
3,6,0.8737103552973678
13,6,0.8656438718270639
11,7,0.4157084784495774
3,7,0.4829800210080452
13,7,0.42302812909949583
11,8,0.9006124501936364
3,8,0.8993564091954094
13,8,0.8826344001927691
11,9,0.0994075221686696
3,9,0.09894612904782606
13,9,0.11149028132833512
11,10,0.11240807605954126
3,10,0.11225825735405716
13,10,0.11240807605954126
11,11,0.9016202839122958
3,11,0.8997352373057781
13,11,0.8746864363864569
11,12,0.8248616784381383
3,12,0.8254157775478488
13,12,0.7935655182213291
11,13,0.8531317995145127
3,13,0.8470947921504093
13,13,0.8198575447017694
11,14,0.11240807605954126
3,14,0.11225825735405716
13,14,0.11240807605954126
11,15,0.3686610644834475
3,15,0.3678990687466812
13,15,0.3851411876559287
11,16,0.4596706310619828
3,16,0.4707705313715086
13,16,0.454976239140356
11,17,0.3470192696152975
3,17,0.4464446633243709
13,17,0.4017445077830428
11,18,0.8932852605930897
3,18,0.8867069300533652
13,18,0.8645970550801323
5,3,0.11229591769153877
4,3,0.11225825735405716
5,4,0.7853417350750401
4,4,0.7784288389376878
5,5,0.10962925102487213
4,5,0.11225825735405716
5,6,0.8773551468739982
4,6,0.8541249817039609
5,7,0.3431296668583016
4,7,0.34833669625934505
5,8,0.8929477816358217
4,8,0.8794309425907398
5,9,0.09995924755252247
4,9,0.09928311454901352
5,10,0.11229591769153877
4,10,0.11225825735405716
5,11,0.9000201337873946
4,11,0.8840535967022893
5,12,0.8176778587404969
4,12,0.8041363274922902
5,13,0.8334026088575
4,13,0.8150831199811824
5,14,0.11229591769153877
4,14,0.11225825735405716
5,15,0.32012117828030423
4,15,0.3446330401166534
5,16,0.4392900588866861
4,16,0.3677468590146875
5,17,0.3211399543139729
4,17,0.28938983380945965
5,18,0.8830287300291685
4,18,0.862451826116682
6,3,0.11229591769153877
6,4,0.8060019933777411
6,5,0.10761582820608016
6,6,0.8813611109182642
6,7,0.451028624018367
6,8,0.8983156695314929
6,9,0.1052766251582586
6,10,0.11229591769153877
6,11,0.8980206182192896
6,12,0.8237440740568097
6,13,0.8546522307945509
6,14,0.11229591769153877
6,15,0.39680293495642266
6,16,0.4732417377969391
6,17,0.4083692530326858
6,18,0.8923094139024241
18,2,0.09712046278882687
0,2,0.09748587999929437
10,19,0.8809933133077784
18,19,0.9015468761671064
0,19,0.8903318077055016
10,20,0.1123332020543657
18,20,0.11248270506126967
0,20,0.11244172780918203
10,21,0.30472719518025554
18,21,0.3612773525199341
0,21,0.3725590168831721
10,22,0.6897458158929538
18,22,0.7640403783893049
0,22,0.7441799215994169
10,23,0.8307418498155738
18,23,0.8735552384245902
0,23,0.8526637590533339
10,24,0.8154246522777855
18,24,0.8582045497030892
0,24,0.8372975220430323
10,25,0.7578585097629288
18,25,0.8334564457099025
0,25,0.7750990720569892
2,19,0.8960227519039063
14,19,0.896315169948779
2,20,0.11222091646468504
14,20,0.11240807605954126
2,21,0.3772738957730297
14,21,0.2715059439728621
2,22,0.7388347797850394
14,22,0.7225457037309939
2,23,0.8374941350049541
14,23,0.8349225843355939
2,24,0.8278293392887953
14,24,0.8205620655649752
2,25,0.7709362363730973
14,25,0.7697274501776157
16,19,0.8821889062476282
9,19,0.8969506437756843
16,20,0.11240807605954126
9,20,0.1123332020543657
16,21,0.3568020327772176
9,21,0.312065236535776
16,22,0.7117073142795554
9,22,0.7571569609808618
16,23,0.8234824134027653
9,23,0.8408749122338535
16,24,0.8138087699747585
9,24,0.8278693935395225
16,25,0.7649407158414606
9,25,0.7850628821236267
6,19,0.9050352436325472
6,20,0.11229591769153877
6,21,0.3851365514994853
6,22,0.7676680826051152
6,23,0.8537366553944787
6,24,0.8424266258139387
6,25,0.7885848222506313
11,19,0.9098807528459744
3,19,0.9020064743129644
13,19,0.8876048954644988
11,20,0.11240807605954126
3,20,0.11225825735405716
13,20,0.11240807605954126
11,21,0.2898643157547723
3,21,0.4024091551222265
13,21,0.34839316315004
11,22,0.7449191485504879
3,22,0.7661573340555078
13,22,0.7365958934012594
11,23,0.8625609358413306
3,23,0.8600869362194107
13,23,0.8262845917583951
11,24,0.849551587937562
3,24,0.8487404983234089
13,24,0.8146030182348684
11,25,0.793410973923514
